num_evs,method,avg_reward,avg_queue_h,avg_trip_h,avg_fee,load_gini,action_gini,abandon_rate,events,source
40,Best single local,-0.6304737547031237,0.047390971342479604,0.4017884637037517,67.82475200412306,0.09602087397497676,0.10508532424011234,0.0,5498.0,evaluation\paradigm\matrix_sparse15_hetero.json
40,Centralized,-0.6336336951049066,0.10041454349198638,0.35967904487022945,67.29410793512962,0.12077130836832566,0.13179404566598504,0.0,5487.0,evaluation\paradigm\matrix_sparse15_hetero.json
40,FedAvg,-0.7051338748260235,0.09909764188732918,0.33310896332456524,67.01170536580356,0.1163191204107401,0.12695536140255928,0.0,5609.0,evaluation\paradigm\matrix_sparse15_hetero.json
40,FedProx,-0.6699816464159455,0.09590918349005884,0.3339256641160808,67.2367626598488,0.11429635517957386,0.12566603305264276,0.0,5616.666666666667,evaluation\paradigm\matrix_sparse15_hetero.json
40,FedRep diagonal,-0.632762018470819,0.10595354673847866,0.3715985053024337,67.34960761819904,0.12137460570283369,0.1313986513532269,0.0,5431.333333333333,evaluation\paradigm\matrix_sparse15_hetero.json
40,Greedy generalized cost,-0.6825584675732239,0.06077121989297881,0.4233429641849109,67.91243247488082,0.08140141602470312,0.09144617300813136,0.0,5365.666666666667,evaluation\baseline_compare\heuristic_sparse15_hetero.json
40,Local diagonal,-0.6452976935201686,0.11461091234435102,0.350731496616204,67.23440564214823,0.12554785266077953,0.13692909513116872,0.0,5474.666666666667,evaluation\paradigm\matrix_sparse15_hetero.json
40,Random,-0.7891009292696965,0.03398306322090818,0.6859077386492993,69.25509428131225,0.006279431543370295,0.002999368553988635,0.0,4566.0,evaluation\baseline_compare\heuristic_sparse15_hetero.json
40,Shortest trip,-1.4867039941084428,0.5209215904868087,0.27690141038095245,64.64250771414828,0.2795831795705308,0.29684188215345486,0.00510204081632653,4485.0,evaluation\baseline_compare\heuristic_sparse15_hetero.json
60,Best single local,-0.9838761995389752,0.15178036751909077,0.6966423286688076,71.33448772203637,0.037080989332604807,0.043735782328105634,0.0,6455.0,evaluation\paradigm\matrix_sparse15_60ev_hetero.json
60,Centralized,-1.0433245526172517,0.33186251070617195,0.46045727265028374,69.87991350298783,0.03996015602814795,0.05415708365414081,0.0,6756.666666666667,evaluation\paradigm\matrix_sparse15_60ev_hetero.json
60,FedAvg,-1.2482663257839575,0.3758294871031438,0.39180807240251325,69.64155261655542,0.03548614750870708,0.0511611557810551,0.0,6870.666666666667,evaluation\paradigm\matrix_sparse15_60ev_hetero.json
60,FedProx,-1.2082699881087442,0.35986956168505,0.4074625588678579,69.84014050166813,0.03146529484496267,0.046652022516041614,0.0,6864.333333333333,evaluation\paradigm\matrix_sparse15_60ev_hetero.json
60,FedRep diagonal,-1.0156208983391029,0.31561825189732756,0.4841769059159295,70.03620820475597,0.040283253712923774,0.05368311752623075,0.0,6720.666666666667,evaluation\paradigm\matrix_sparse15_60ev_hetero.json
60,Greedy generalized cost,-1.2731202402195076,0.3332830831595264,0.4951645562537285,69.97001583953623,0.03651534928830199,0.04668983396932558,0.0,6574.666666666667,evaluation\baseline_compare\heuristic_sparse15_60ev_hetero.json
60,Local diagonal,-0.9630348674932893,0.30380938734813406,0.5012878675889935,70.25133625091523,0.03757503261057615,0.05074356046695927,0.0,6694.333333333333,evaluation\paradigm\matrix_sparse15_60ev_hetero.json
60,Random,-1.3151375749448793,0.29889853137516775,0.6851862603713559,70.99405751392753,0.01161812440797294,0.008333333333333304,0.0,5992.0,evaluation\baseline_compare\heuristic_sparse15_60ev_hetero.json
60,Shortest trip,-2.3659575270605164,0.9693081502771523,0.27484394893780095,64.9608139582614,0.2636862833246909,0.5659052967066323,0.621699285492389,4871.0,evaluation\baseline_compare\heuristic_sparse15_60ev_hetero.json
