load,city,variant,n,avg_reward,median_reward,avg_queue_min,p95_queue_min,p99_queue_min,max_queue_min,cvar95_queue_min,abandon_pct,served_request_pct,load_gini,action_gini
60,old_city,B,30,-1.111062,-1.090863,10.4454,33.6667,44.0000,55.6667,37.1213,0.0170,95.6983,0.035195,0.045520
60,old_city,C,30,-0.945437,-0.933382,7.8725,28.3333,38.8400,44.6667,31.1492,0.0000,95.7911,0.029597,0.039027
60,old_city,D,30,-0.975415,-0.975199,8.3590,28.3333,37.8300,46.3333,31.2066,0.0000,95.7634,0.032604,0.041493
