method,variant,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
LocalDQN,B,old_city,60,101,1001,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep1_seed101\model_final.pth,586,617,3,0.0050933786078098476,4.069444444444445,0.9497568881685575,-2.297077842974739,-1.6396494156045047,0.549509309269237,0.4709897610921496,0.3333333333333333,1.3333333333333333,1.5,2.1666666666666665,2.666666666666666,1.7976190476190472,0.31618533057396614,93.42396350841743,0.02606562878625085,0.04659643435980554
LocalDQN,B,old_city,60,101,1002,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,648,677,0,0.0,4.5,0.9571639586410635,-1.1011275732646761,-0.9182786017750879,0.6499411361135862,0.17258230452674936,0.16666666666666666,0.5,0.6666666666666666,0.8333333333333333,0.9999999999999999,0.7314814814814816,0.0465613701121104,96.37607623286904,0.04186981936142553,0.055760709010339804
LocalDQN,B,old_city,60,101,1003,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,661,689,0,0.0,4.590277777777778,0.9593613933236574,-1.1007849780965995,-0.9881749442166676,0.6446545604720492,0.1729702471003532,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5609756097560975,0.03740353264981264,96.12786813119517,0.037398595497269316,0.046806966618287316
LocalDQN,B,old_city,60,101,1004,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,647,676,0,0.0,4.493055555555555,0.9571005917159763,-1.0928649106698651,-0.9758945749873639,0.65704684432485,0.1705306543019065,0.16666666666666666,0.5,0.5,0.6666666666666666,0.9999999999999999,0.5745098039215684,0.04090040533714704,95.66004739603922,0.03291625212716709,0.047337278106508895
LocalDQN,B,old_city,60,101,1005,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,648,678,0,0.0,4.5,0.9557522123893806,-1.0794963723617164,-0.9199100635052457,0.6795510200827926,0.16538065843621394,0.16666666666666666,0.5,0.5,0.8333333333333333,0.8333333333333333,0.5866666666666667,0.03999320214990939,96.53420274153643,0.03752751592470327,0.0471976401179941
LocalDQN,B,old_city,60,101,1006,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,655,683,0,0.0,4.548611111111111,0.95900439238653,-1.109199990511928,-0.9637564020763406,0.6723943204490467,0.17277353689567446,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.6809523809523812,0.040166268476972786,97.01660002500408,0.03290456339130521,0.04648609077598831
LocalDQN,B,old_city,60,101,1007,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,661,690,0,0.0,4.590277777777778,0.9579710144927536,-1.0781938965683235,-1.0353846805360716,0.6604769161543671,0.16616238023197183,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5303030303030304,0.030845265950696865,96.71257473014147,0.031065151963430182,0.04202898550724643
LocalDQN,B,old_city,60,101,1008,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,662,693,0,0.0,4.597222222222222,0.9552669552669553,-1.0888618367015328,-0.9413819416436352,0.6844454887582008,0.16742195367573015,0.16666666666666666,0.5,0.5,0.6666666666666666,1.1666666666666665,0.5473251028806583,0.036630849481110526,96.40174146726766,0.032456441147352244,0.04581529581529575
LocalDQN,B,old_city,60,101,1009,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,651,679,0,0.0,4.520833333333333,0.9587628865979382,-1.1218163900012879,-0.9864643926456905,0.6625831374419744,0.1766513056835639,0.16666666666666666,0.5,0.5,0.6666666666666666,0.9999999999999999,0.5516666666666664,0.04124695316905844,96.6640795279875,0.035166406864953315,0.042341678939617156
LocalDQN,B,old_city,60,101,1010,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,648,676,0,0.0,4.5,0.9585798816568047,-1.0747193391779333,-0.9623520726813881,0.669151675040709,0.16460905349794258,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5307017543859649,0.03386064962996829,97.00638415150085,0.03802304531308742,0.0451183431952662
